date,year,month,decimal_year,toa_net_flux_w_m2,ASR
2000-03-01,2000,3,2000.208333,0.960000,
2000-04-01,2000,4,2000.291667,1.140000,
2000-05-01,2000,5,2000.375000,1.090000,
2000-06-01,2000,6,2000.458333,1.130000,
2000-07-01,2000,7,2000.541667,0.680000,
2000-08-01,2000,8,2000.625000,1.400000,
2000-09-01,2000,9,2000.708333,1.390000,
2000-10-01,2000,10,2000.791667,2.370000,
2000-11-01,2000,11,2000.875000,1.140000,
2000-12-01,2000,12,2000.958333,0.760000,
2001-01-01,2001,1,2001.041667,-0.680000,
2001-02-01,2001,2,2001.125000,1.410000,1.065833
2001-03-01,2001,3,2001.208333,0.800000,1.052500
2001-04-01,2001,4,2001.291667,1.840000,1.110833
2001-05-01,2001,5,2001.375000,1.070000,1.109167
2001-06-01,2001,6,2001.458333,0.990000,1.097500
2001-07-01,2001,7,2001.541667,0.360000,1.070833
2001-08-01,2001,8,2001.625000,1.150000,1.050000
2001-09-01,2001,9,2001.708333,0.640000,0.987500
2001-10-01,2001,10,2001.791667,2.060000,0.961667
2001-11-01,2001,11,2001.875000,0.440000,0.903333
2001-12-01,2001,12,2001.958333,1.340000,0.951667
2002-01-01,2002,1,2002.041667,1.220000,1.110000
2002-02-01,2002,2,2002.125000,1.290000,1.100000
2002-03-01,2002,3,2002.208333,0.890000,1.107500
2002-04-01,2002,4,2002.291667,1.250000,1.058333
2002-05-01,2002,5,2002.375000,-0.140000,0.957500
2002-06-01,2002,6,2002.458333,1.150000,0.970833
2002-07-01,2002,7,2002.541667,1.100000,1.032500
2002-08-01,2002,8,2002.625000,1.630000,1.072500
2002-09-01,2002,9,2002.708333,0.640000,1.072500
2002-10-01,2002,10,2002.791667,0.100000,0.909167
2002-11-01,2002,11,2002.875000,0.930000,0.950000
2002-12-01,2002,12,2002.958333,0.810000,0.905833
2003-01-01,2003,1,2003.041667,0.590000,0.853333
2003-02-01,2003,2,2003.125000,0.340000,0.774167
2003-03-01,2003,3,2003.208333,0.010000,0.700833
2003-04-01,2003,4,2003.291667,0.850000,0.667500
2003-05-01,2003,5,2003.375000,1.030000,0.765000
2003-06-01,2003,6,2003.458333,0.280000,0.692500
2003-07-01,2003,7,2003.541667,0.090000,0.608333
2003-08-01,2003,8,2003.625000,0.060000,0.477500
2003-09-01,2003,9,2003.708333,0.340000,0.452500
2003-10-01,2003,10,2003.791667,0.080000,0.450833
2003-11-01,2003,11,2003.875000,0.290000,0.397500
2003-12-01,2003,12,2003.958333,-0.040000,0.326667
2004-01-01,2004,1,2004.041667,0.410000,0.311667
2004-02-01,2004,2,2004.125000,-0.100000,0.275000
2004-03-01,2004,3,2004.208333,1.590000,0.406667
2004-04-01,2004,4,2004.291667,-0.220000,0.317500
2004-05-01,2004,5,2004.375000,1.670000,0.370833
2004-06-01,2004,6,2004.458333,1.200000,0.447500
2004-07-01,2004,7,2004.541667,-0.190000,0.424167
2004-08-01,2004,8,2004.625000,0.410000,0.453333
2004-09-01,2004,9,2004.708333,0.170000,0.439167
2004-10-01,2004,10,2004.791667,0.890000,0.506667
2004-11-01,2004,11,2004.875000,0.280000,0.505833
2004-12-01,2004,12,2004.958333,-0.220000,0.490833
2005-01-01,2005,1,2005.041667,0.270000,0.479167
2005-02-01,2005,2,2005.125000,0.900000,0.562500
2005-03-01,2005,3,2005.208333,0.440000,0.466667
2005-04-01,2005,4,2005.291667,0.650000,0.539167
2005-05-01,2005,5,2005.375000,0.130000,0.410833
2005-06-01,2005,6,2005.458333,0.790000,0.376667
2005-07-01,2005,7,2005.541667,0.840000,0.462500
2005-08-01,2005,8,2005.625000,1.000000,0.511667
2005-09-01,2005,9,2005.708333,0.380000,0.529167
2005-10-01,2005,10,2005.791667,0.550000,0.500833
2005-11-01,2005,11,2005.875000,0.310000,0.503333
2005-12-01,2005,12,2005.958333,-0.800000,0.455000
2006-01-01,2006,1,2006.041667,0.580000,0.480833
2006-02-01,2006,2,2006.125000,0.650000,0.460000
2006-03-01,2006,3,2006.208333,0.570000,0.470833
2006-04-01,2006,4,2006.291667,0.570000,0.464167
2006-05-01,2006,5,2006.375000,-0.030000,0.450833
2006-06-01,2006,6,2006.458333,-0.240000,0.365000
2006-07-01,2006,7,2006.541667,0.210000,0.312500
2006-08-01,2006,8,2006.625000,0.600000,0.279167
2006-09-01,2006,9,2006.708333,0.040000,0.250833
2006-10-01,2006,10,2006.791667,1.220000,0.306667
2006-11-01,2006,11,2006.875000,-0.340000,0.252500
2006-12-01,2006,12,2006.958333,0.270000,0.341667
2007-01-01,2007,1,2007.041667,0.600000,0.343333
2007-02-01,2007,2,2007.125000,0.040000,0.292500
2007-03-01,2007,3,2007.208333,0.510000,0.287500
2007-04-01,2007,4,2007.291667,-0.100000,0.231667
2007-05-01,2007,5,2007.375000,0.450000,0.271667
